modCodeStr,dbCodeStr,season,exportDate,RV,effectType,likelihood,mean,sd,q_025,q_5,q_975,mode,kld
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,intercept_nonzero,fixed,normal,-0.10515454289442139,0.10081025490979498,-0.3129211356522857,-0.10221920188167154,0.0856991536360436,-0.09699402889736232,9.449040549640059e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,O_imscoverage_nonzero,fixed,normal,0.023604159065565816,0.07248124880466174,-0.11567611779578882,0.024052028213802867,0.16377753179916538,0.02860257890760131,2.1070717061785803e-5
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,O_careseek_nonzero,fixed,normal,0.5371733591461155,0.046851403208666355,0.4448609090547143,0.5372633032747018,0.6288898429354475,0.5374451639191193,2.46281825609689e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,O_insured_nonzero,fixed,normal,0.035706337684678305,0.05830136017999251,-0.07982495982449522,0.036048740847271575,0.14922490496153992,0.03673440780732324,9.338254814974498e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_poverty_nonzero,fixed,normal,0.0017981765094440315,0.0777315962811973,-0.1536050410819155,0.0027438320637951583,0.15187600934480056,0.0046644188001436025,2.3927644098474185e-5
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_child_nonzero,fixed,normal,0.35127723319541,0.096946778383091875,0.16088794482970645,0.35113725098133164,0.5420909318464846,0.3507221234501339,4.8681267328589295e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_adult_nonzero,fixed,normal,0.19503706146405722,0.09113394491625378,0.017011424628684407,0.19444169687011867,0.3759744528988992,0.19310122066593655,8.898863115528073e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_hospaccess_nonzero,fixed,normal,0.20308725953620854,0.06488191059539106,0.07511571003495501,0.20311236946164327,0.33068059915148185,0.2030690505590435,2.820075894958019e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_popdensity_nonzero,fixed,normal,0.5501789314529237,0.3332742796876436,-0.10815291450912001,0.5507318914685594,1.2046570002906654,0.5517857500841933,2.6357186034569767e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_housdensity_nonzero,fixed,normal,-0.026761614739475893,0.057180087400021125,-0.13752375100466668,-0.027274814738160475,0.0867651052441513,-0.028409416717726222,1.0304316050763673e-5
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_vaxcovI_nonzero,fixed,normal,-0.14039737959354168,0.05028544705491937,-0.23932622467442838,-0.14054618242567488,-0.040369892564857596,-0.1405812916808945,5.618057326866872e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_vaxcovE_nonzero,fixed,normal,-0.07535960804764893,0.09120372268469071,-0.2536966612050199,-0.07576821540236212,0.10488544388761917,-0.07674085025589378,2.3732866067369726e-5
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_H3A_nonzero,fixed,normal,0.024054982940052753,0.0573116929488576,-0.08863226425577772,0.024457225905782205,0.13390428854783656,0.024840325256543123,2.486370430496073e-5
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_B_nonzero,fixed,normal,0.04727389012314472,0.03074842308468587,-0.011286862515794124,0.04653494570112012,0.10969983999910826,0.04478013582771343,4.6535235031943236e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_priorImmunity_nonzero,fixed,normal,0.01030629981969691,0.029910894053897342,-0.049872494262296535,0.010730457923741742,0.06817792858537697,0.011613104400775493,3.3307807336123733e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_humidity_nonzero,fixed,normal,0.16948750976013907,0.0967293207177894,-0.024843936193728378,0.1707869428090588,0.35634322797136375,0.17318745713864184,2.5026576110966916e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_pollution_nonzero,fixed,normal,0.02437805118032777,0.031247040031270018,-0.037067251250726733,0.024398115323972482,0.08565032424645691,0.024442378388219273,6.386063885571274e-7
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_singlePersonHH_nonzero,fixed,normal,0.19965926655407204,0.11393504021228212,-0.02211164249989306,0.1988981300637534,0.42545517520698095,0.19741004649067362,3.881492219800494e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_adult_nonzero:X_H3A_nonzero,fixed,normal,-0.07965631061905533,0.05221361768576052,-0.18211681707374666,-0.07969621066713412,0.02290956426145975,-0.07977627815912466,1.1278653775575543e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,X_child_nonzero:X_B_nonzero,fixed,normal,0.01638845425610542,0.0273155352260251,-0.0374043566400186,0.016438161798699603,0.06986358555294966,0.016554075003566676,1.7410441651977398e-6
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,999,2017-09-16,Precision for the Gaussian observations,hyperpar,NA,18680.964780127597,18390.87191060568,1257.5235150568565,13253.248090728555,67336.43330633602,3432.5394218703204,NA
