modCodeStr,dbCodeStr,season,exportDate,fips,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01003,1,2.6942869344840785,0.3001300711526278,2.1061995380449194,2.6941839303278723,3.2831288083697228,2.6939757063204497,11.8924718529049,2.556643563725926
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01007,2,3.652588009652914,0.3078305933732134,3.048648464928985,3.6528490447552193,4.255164868372942,3.653404927237686,58.1821648438945,4.080620226970369
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01009,3,3.6776019531875264,0.30688703179379173,3.0755565323184237,3.6778406009139304,4.27843823003914,3.6783472674101234,58.5364836602947,4.08658929540046
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01015,4,3.376677725860479,0.30174557893321197,2.7847950390711125,3.376821276591062,3.9679070696749683,3.3771203569869654,36.8937397540524,3.634785920451653
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01017,5,2.7701428203033025,0.3035639923499728,2.175508458776647,2.7699594019266205,3.3658603326676824,2.7695779066949466,10.5829637125863,2.449535373128786
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01019,6,3.8825673166962895,0.3154120024929166,3.263731306147605,3.882913464596705,4.499391288652732,3.88367842185417,86.1135031909775,4.467211902737674
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01021,7,3.588288094094578,0.3048572507507883,2.990249222146697,3.5884930033365463,4.185335576987244,3.588924484914402,50.6409219144297,3.9443144185384815
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01023,8,2.6602162892092283,0.3353684364776233,2.0065149017515242,2.6596116406876433,3.3169883800987394,2.6581230307077726,4.97876386295827,1.788213834714807
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01025,9,2.5060912905993638,0.30464448485378354,1.9094480124952118,2.5058650735122217,3.1040329380939613,2.5053923738526427,7.7328297541862,2.1670894587020353
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01027,10,3.4757078668634667,0.3042951788840539,2.878802285102682,3.475896831894037,4.07171827997324,3.476294319951962,44.5880368061041,3.819645331357033
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01029,11,3.4061528391147107,0.30084020802006894,2.81607184720368,3.4062767801618934,3.9956894959731986,3.4065342527406526,36.4562703261524,3.6231741278880496
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01031,12,2.6735260103267415,0.3069748624775303,2.072430158743674,2.673274756778833,3.276023031604776,2.6727423946507587,8.62508747861917,2.264372968820252
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01033,13,3.472665108351893,0.30151973324881487,2.881217135309094,3.472806551625432,4.063466495868735,3.4731007704834758,40.1511026183681,3.717250721864172
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01035,14,1.8725464805359335,0.35431884651703116,1.1848321632298624,1.8719436593034013,2.563197170172131,1.8702611655067878,1.16788732994188,0.7737531126429305
