modCodeStr,dbCodeStr,season,exportDate,RV,effectType,likelihood,mean,sd,q_025,q_5,q_975,mode,kld
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01015,spatial,normal,0.2584925949842635,0.3017608316167855,-0.33358248648692285,0.25835212714181227,0.8507948485462307,0.2580863337306252,2.5146551547464465e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01017,spatial,normal,-0.32108558526087355,0.3035787650925638,-0.9175541907375793,-0.320926019460484,0.273974471281292,-0.32056545237479434,2.3340446495711976e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01019,spatial,normal,0.585515866239924,0.31542803872163105,-0.03232124142961634,0.5851883799193963,1.2045941013441355,0.584490422572926,1.687737766946201e-14
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01021,spatial,normal,0.3565570223612228,0.3048725487901197,-0.24139208660219097,0.35635981991557975,0.955040171535845,0.35597078211098176,3.3594340761905705e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01023,spatial,normal,-0.8733092638016384,0.33539129617921304,-1.530946694025109,-0.8727505224719095,-0.21887306279265029,-0.8713466057099104,9.07030209067371e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01025,spatial,normal,-0.3395072836729537,0.3046605376479707,-0.9382058605043354,-0.33930559394603793,0.2575541565324724,-0.33885565298560394,3.663143407270157e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01027,spatial,normal,0.34445011769983386,0.3043100853895291,-0.2524499732731165,0.3442682183875683,0.9418015515170752,0.3439121245837452,2.6974913411474117e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01029,spatial,normal,0.21734428962323185,0.3008558055047237,-0.37302328252665795,0.217221525232508,0.8078429693283025,0.21699354239149302,3.948031952466245e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01031,spatial,normal,-0.40976290681578903,0.30698995322480166,-1.0130119743957122,-0.4095393352762362,0.19174118595553025,-0.40903724126287055,5.1539472851908986e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01033,spatial,normal,0.2449497992532776,0.3015353662842035,-0.3466937558226105,0.24481083689266644,0.8368123940419775,0.2445485904867912,3.014468925117083e-15
