modCodeStr,dbCodeStr,season,exportDate,fips_st,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,01,1,2.3428072662993045,0.011093270496686054,2.3211938270736905,2.3429460414813916,2.3627958538037737,2.3429924307671057,9.41242580848574,2.3429998822321134
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,06,2,2.135756657676437,0.011152002590710426,2.113499450843407,2.136046602497274,2.1553366067742736,2.1361678439200444,7.46771999998353,2.1362612870650413
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,08,3,2.559303453617316,0.011170947598277572,2.5368800095808672,2.5596253080181524,2.578799171730508,2.5597616047668934,11.9341399591653,2.559870323993015
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,09,4,1.7839694259782792,0.01107310186803551,1.7627471813233992,1.7840111243230317,1.804240790163536,1.784011154903463,4.95341347137123,1.7839647477262452
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,10,5,1.5278553749116082,0.011067599818482921,1.5069130017168482,1.5278280111975584,1.5483440614602562,1.527792311685379,3.60759928637387,1.5277069591899761
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,13,6,3.029235567099523,0.011084492486815402,3.0077675286761734,3.0293386988592967,3.0493244610572114,3.0293695710258635,19.6839741644719,3.029359205474594
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,19,7,2.7458406648079725,0.011134362985916038,2.7237604965204585,2.746091825020496,2.765520553139426,2.746192366888601,14.5842660884533,2.746261821218818
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,16,8,1.1960230081930856,0.011071779203266813,1.1749043613901986,1.1960388811141323,1.2163758039348942,1.1960250906537093,2.30674077790639,1.195963045050815
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,17,9,1.739158580251884,0.011081247687467993,1.7177467081475344,1.7392470331056433,1.759290556062884,1.7392686656632421,4.69305102218471,1.739246312195552
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,18,10,2.424720573052186,0.01112889114366422,2.402695418575203,2.4249589669203315,2.444436586356766,2.4250522329030795,10.3035113948198,2.425113420352125
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,20,11,1.575611542450887,0.011076146843520526,1.5543307809449602,1.5756679429701574,1.5958411022394987,1.5756750350936666,3.8338194435809,1.575636930235119
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,21,12,2.662476727642774,0.011104866123342525,2.640713530475444,2.662652042308011,2.682364275315767,2.662715242101102,13.3355463720255,2.6627422131555916
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,22,13,2.3296637190061866,0.011098296434199267,2.3079890947313757,2.32981777983848,2.349611409853798,2.3298714799018834,9.27678996006465,2.329887950569397
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,25,14,3.0671403495936613,0.01126286736367056,3.044009298296275,3.0675997145045364,3.0863615036794823,3.067807201436738,20.4988060712096,3.067997402020036
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,24,15,2.728044102383048,0.011066947759772336,2.707181623731865,2.7279982176649886,2.7485941952443445,2.7279555944696323,14.3001788563875,2.72786451829003
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,23,16,0.8861859181205889,0.011068006292995161,0.8651983834750767,0.8861693101742295,0.906640064100243,0.8861381789827284,1.42554687240301,0.886057013357892
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,26,17,2.8633531142125763,0.01115285097068844,2.841081799111434,2.863644676606087,2.8829260804168864,2.863766249569302,16.5290419492021,2.8638590453690482
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,27,18,1.458016950759677,0.011108290259554609,1.4362113187514007,1.4582030794167258,1.4778768100310704,1.4582710107959194,3.29866177289742,1.4583037586566392
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,29,19,2.0163470817915905,0.01113725729181573,1.9942384430232705,2.01660450809135,2.036012261932692,2.0167077325734795,6.51409318438187,2.016780348509784
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,28,20,1.8724162475896688,0.011072651603909058,1.851888242448629,1.8722886886524814,1.8932453664092939,1.8722028629971261,5.50170442922322,1.8720643624084627
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,30,21,1.059978994456492,0.011072448883609386,1.0388083136422703,1.0600081709275058,1.0802921567610904,1.0600011269394944,1.88621772391468,1.059946898917997
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,37,22,3.1579889140819812,0.011086050737440062,3.1364875753209915,3.158099435598791,3.1780550606734135,3.158132567928468,22.5264137492668,3.1581237792775405
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,3,2017-09-16,38,23,1.2162874358559292,0.011069603718915228,1.1956159193354554,1.2161934696208136,1.2369982529582222,1.2161229852754045,2.37366604034159,1.215999998887493
